Name,Price,Rating,Spec1,Spec2,Spec3,Spec4,Spec5,Spec6,Brand
Motorola Moto G96 5G,"₹18,239",4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,motorola
Motorola Moto G86 Power 5G,"₹17,999",4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt",6720 mAh Battery with 30W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,motorola
Motorola Edge 60 Fusion,"₹22,845",4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","Dimensity 7400, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 68W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,motorola
Motorola Edge 60 Pro,"₹29,370",4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 90W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,motorola
Motorola Edge 70 Pro,"₹31,999",4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 100W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,motorola
Motorola Moto G85 5G,"₹16,560",4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,motorola
Motorola Edge 60 5G,"₹27,300",4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 7400, Octa Core, 2.6 GHz Processor","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 68W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,motorola
Motorola Edge 50 Fusion,"₹19,479",4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 68W Fast Charging,"6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,motorola
Motorola Moto G45 5G (8GB RAM + 128GB),"₹12,163",4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 20W Fast Charging,"6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,motorola
Motorola Edge 60 Pro (16GB RAM + 512GB),"₹37,999",4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor","16 GB RAM, 512 GB inbuilt",6000 mAh Battery with 90W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,motorola
